car_numbers1,car_numbers2,car_numbers3,car_numbers4,duration1,duration3,total_waiting_time
50,100,250,650,60,60,9081.0
50,100,250,650,60,70,8898.0
50,100,250,650,60,80,9070.0
50,100,250,650,70,10,36709.0
50,100,250,650,70,20,21209.0
50,100,250,650,70,30,14923.0
50,100,250,650,70,40,11917.0
50,100,250,650,70,50,10817.0
50,100,250,650,70,60,10017.0
50,100,250,650,70,70,9684.0
50,100,250,650,70,80,9859.0
50,100,250,650,80,10,41900.0
50,100,250,650,80,20,24288.0
50,100,250,650,80,30,16997.0
50,100,250,650,80,40,13464.0
50,100,250,650,80,50,12014.0
50,100,250,650,80,60,10999.0
50,100,250,650,80,70,10559.0
50,100,250,650,80,80,10353.0
250,100,250,650,10,10,7540.0
250,100,250,650,10,20,12542.0
250,100,250,650,10,30,17262.0
250,100,250,650,10,40,22289.0
250,100,250,650,10,50,27930.0
250,100,250,650,10,60,33064.0
250,100,250,650,10,70,39008.0
250,100,250,650,10,80,44097.0
250,100,250,650,20,10,11835.0
250,100,250,650,20,20,8940.0
250,100,250,650,20,30,9855.0
250,100,250,650,20,40,12010.0
250,100,250,650,20,50,14869.0
250,100,250,650,20,60,17417.0
250,100,250,650,20,70,20123.0
250,100,250,650,20,80,23427.0
250,100,250,650,30,10,16636.0
250,100,250,650,30,20,11187.0
250,100,250,650,30,30,10511.0
250,100,250,650,30,40,11625.0
250,100,250,650,30,50,13543.0
250,100,250,650,30,60,15830.0
250,100,250,650,30,70,18119.0
250,100,250,650,30,80,20168.0
250,100,250,650,40,10,21609.0
250,100,250,650,40,20,13512.0
250,100,250,650,40,30,11932.0
250,100,250,650,40,40,12086.0
250,100,250,650,40,50,13225.0
250,100,250,650,40,60,14594.0
250,100,250,650,40,70,16226.0
250,100,250,650,40,80,37152.0
250,100,250,650,50,10,3482.0
250,100,250,650,50,20,4995.0
250,100,250,650,50,30,9160.0
250,100,250,650,50,40,13841.0
250,100,250,650,50,50,18623.0
250,100,250,650,50,60,23280.0
250,100,250,650,50,70,27922.0
250,100,250,650,50,80,32736.0
250,100,250,650,60,10,3852.0
250,100,250,650,60,20,4731.0
250,100,250,650,60,30,8347.0
250,100,250,650,60,40,12479.0
250,100,250,650,60,50,16470.0
250,100,250,650,60,60,20469.0
250,100,250,650,60,70,24625.0
250,100,250,650,60,80,28873.0
250,100,250,650,70,10,4088.0
250,100,250,650,70,20,4606.0
250,100,250,650,70,30,7744.0
250,100,250,650,70,40,11261.0
250,100,250,650,70,50,14707.0
250,100,250,650,70,60,18550.0
250,100,250,650,70,70,22058.0
250,100,250,650,70,80,25903.0
250,100,250,650,80,10,4527.0
250,100,250,650,80,20,4560.0
250,100,250,650,80,30,7539.0
250,100,250,650,80,40,10584.0
